1,la gente,ludzie,1,0
2,el cuerpo,ciało,1,0
3,el cuello,szyja,1,0
4,el pecho,pierś,2,0
5,el abdomen,brzuch,2,0
6,la pierna,noga,1,0
7,la cabeza,głowa,1,0
8,el brazo,ramię,2,0
9,el codo,łokieć,2,0
10,el antebrazo,przedramię,2,0
11,el muslo,udo,2,0
12,la rodilla,kostka,3,0
13,el hombro,bark,3,0
14,la mano,ręka,1,0
15,la nalga,pośladek,2,0
16,la espalda,plecy,1,0
17,el pulgar,kciuk,1,0
18,el talón,pięta,2,0
19,la cara,twarz,1,0
20,el pelo,włosy,1,0
21,la piel,skóra,2,0
22,la frente,czoło,1,0
23,la ceja,brew,2,0
24,el ojo,oko,1,0
25,la nariz,nos,1,0
26,la oreja,ucho,1,0
27,la mejilla,policzek,3,0
28,la boca,usta,1,0
29,la arruga,zmarszczka,3,0
30,el indice,palec wskazujący,2,0
31,el puño,pięść,2,0
32,el pie,stopa,1,0
33,el músculo,mięsień,1,0
34,el biceps,biceps,2,0
35,el abdominal,mięsień brzucha,2,0
36,el triceps,triceps,3,0
37,el esqueleto,szkielet,3,0
38,la costilla,żebro,3,0
39,el cráneo,czaszka,3,0
40,la espina dorsal,kręgosłup,2,0
41,el órgano interno,narząd wewnętrzny,2,0
42,el cerebro,mózg,1,0
43,el higado,wątroba,2,0
44,el corazón,serce,1,0
45,el estómago,żołądek,1,0
46,la lengua,język,1,0
47,la garganta,gardło,2,0
48,la familia,rodzina,1,0
49,la abuela,babcia,2,0
50,el abuelo,dziadek,2,0
51,el tío,wujek,2,0
52,la tía,ciotka,2,0
53,el padre,ojciec,1,0
54,la madre,matka,1,0
55,el primo,kuzyn,3,0
56,el hermano,brat,1,0
57,la hermana,siostra,1,0
58,la mujer,kobieta,1,0
59,el hijo,syn,1,0
60,la hija,córka,1,0
61,el nieto,wnuk,2,0
62,la nieta,wnuczka,2,0
63,el marido,mąż,1,0
64,el niño,dziecko,1,0
65,la genración,pokolenie,2,0
66,los padres,rodzice,2,0
67,los abueleros,dziadkowie,3,0
68,los parientes,krewni,3,0
69,la madrasta,macocha,3,0
70,los gemelos,bliźnięta,4,0
71,la sugra,teściowa,3,0
72,el suegro,teść,3,0
73,el bebé,niemowlę,2,0
74,el cuñado,szwagier,2,0
75,el chico,chłopiec,1,0
76,la chica,dziewczynka,1,0
77,la señorita,panna,1,0
78,la señora,pani,1,0
79,el señor,pan,1,0
80,la adolescente,nastolatka,3,0
81,el adulto,dorosły,3,0
82,el hombre,mężczyzna,1,0
83,el relación,związek,2,0
84,el jefe,szef,2,0
85,la secretaria personal,asystentka,3,0
86,el empleado,pracownik,2,0
87,la empresaria,pracodawca,2,0
88,la oficina,biuro,2,0
89,el amigo,przyjaciel,1,0
90,la prometida,narzeczona,3,0
91,el prometido,narzeczony,3,0
92,la emoción,emocja,1,0
93,contento,szczęśliwy,1,0
94,triste,smutny,2,0
95,entusiasmado,podekscytowany,2,0
96,abburido,znudzony,2,0
97,sorprendido,zaskoczony,2,0
98,asustado,przestraszony,2,0
99,enfadado,zły,1,0
100,confuso,zdezorientowany,2,0
101,preocupado,zmartwiony,2,0
102,nervioso,nerwowy,1,0
103,orgulloso,dumny,2,0
104,seguro de sí mismo,pewny siebie,3,0
105,avergonzado,zakłopotany,3,0
106,tímido,nieśmiały,2,0
107,llorar,płakać,1,0
108,desmayarse,zemdleć,2,0
109,rreír,śmiać się,1,0
110,horrorizado,wstrząśnięty,2,0
111,gritar,krzyczeć,3,0
112,bostezar,ziewać,4,0
113,nacer,urodzić się,3,0
114,hacer amigos,zaprzyjaźnić się,2,0
115,conseguir un trabajo,dostać pracę,4,0
116,enamorarse,zakochać się,3,0
117,la boda,ślub,1,0
118,el divorcio,rozwód,1,0
119,el funeral,pogrzeb,1,0
120,casarse,wziąć ślub,2,0
121,el bautizo,chrzest,3,0
122,el aniversrio,rocznica,2,0
123,emigrar,wyemigrować,2,0
124,morir,umrzeć,2,0
125,hacer testamento,spisać testament,2,0
126,fiesta,święto,1,0
127,el cumpleaños,urodziny,1,0
128,el regalo,prezent,1,0
129,la navidad,boże narodzenie,1,0
130,el año nuevo,nowy rok,1,0
131,el carnaval,karnawał,1,0
132,la semana santa,wielki tydzień,2,0
133,el aspecto,wyglad,2,0
134,las manoplas,rękawiczki jednopalczaste,5,0
135,el pijama,piżama,3,0
136,la bufanda,szalik,2,0
137,el logotipo,logo,4,0
138,las zapatillas de deporte,buty sportowe,5,0
139,el chándal,dres,5,0
140,las zapatillas,kapcie,4,0
141,el caballero,dżentelmen,3,0
142,la corbata,krawat,3,0
143,la chaqueta,marynarka,3,0
144,el bolsillo,kieszeń,4,0
145,los pantalones,spodnie,2,0
146,el traje de chaqueta,garnitur,3,0
147,el jersey,sweter,2,0
148,largo,długi,1,0
149,corto,krótki,1,0
150,la camisa,koszula,1,0
151,los vaqueros,dżinsy,1,0
152,la camiseta de tirantes,podkoszulek,5,0
153,los calcetines,skarpetki,3,0
154,la falda,spódnica,2,0
155,el vestido,sukienka,2,0
156,la blusa,bluzka,2,0
157,el sujetador,biustonosz,5,0
158,la gorra,czapka,3,0
159,el sombrerro,kapelusz,2,0
160,el cinturón,pasek,2,0
161,el paraguas,parasol,2,0
162,los guantes,rękawiczki,4,0
163,el reloj,zegarek,2,0
164,la cartera,portfel,2,0
165,el monedero,portmonetka,3,0
166,la mochila,plecak,2,0
167,los zapatos,buty,1,0
168,la sandalia,sandał,3,0
169,el pelo,włosy,2,0
170,la peluquera,fryzjer,3,0
171,las tijeras,nożyczki,3,0
172,cortar,ciąć,3,0
173,la cliente,klientka,2,0
174,el gel,żel,5,0
175,rizado,kręcone,3,0
176,lacio,proste,3,0
177,rubio,blond,3,0
178,castaño,ciemny brąz,3,0
179,pelirrojo,rudy,3,0
180,negro,czarny,1,0
181,gris,siwy,3,0
182,blanco,biały,1,0
183,el barbero,golarz,4,0
184,la caspa,łupież,6,0
185,graso,tłusty,4,0
186,normal,normalny,2,0
187,seco,suchy,2,0
188,el maquillaje,makijaż,4,0
189,moreno,ciemny,2,0
190,claro,jasny,2,0
191,el tatuaje,tatuaż,4,0
192,la salud,zdrowie,2,0
193,la enfermedad,choroba,3,0
194,la friebre,gorączka,3,0
195,el dolor de cabeza,ból głowy,4,0
196,la tos,kaszel,4,0
197,el estornudo,kichnięcie,4,0
198,el resfriado,przeziębienie,4,0
199,la gripe,grypa,4,0
200,la asma,astma,4,0
201,la náusea,mdłości,4,0
202,la alergia,alergia,4,0
203,la diabetes,cukrzyca,4,0
204,el virus,wirus,3,0
205,el dolor de estómago,ból żołądka,4,0
206,la epilepsia,padaczka,5,0
207,el médico,lekarz,2,0
208,la receta,recepta,3,0
209,la paciente,pacjentka,4,0
210,la efermera,pielęgniarka,4,0
211,la báscula,waga,4,0
212,la cita,wizyta,5,0
213,la sala de espera,poczekalnia,6,0
214,la consulta,gabinet,6,0
215,la inoculación,szczepienie,6,0
216,el termómetro,termometr,4,0
217,la fractura,złamanie,6,0
218,la urgenica,nagły wypadek,6,0
219,la herida,rana,4,0
220,la hermorragia,krwotok,5,0
221,la conmoción,wstrząs mózgu,5,0
222,el aacidente,wypadek,5,0
223,la tirita,plaster,5,0
224,la venda,bandaż,6,0
225,la reanimación,reanimacja,5,0
226,el shock,wstrząs,5,0
227,inconsciente,nieprzytomny,5,0
228,el pulso,tętno,5,0
229,la respiración,oddychanie,4,0
230,estéril,sterylny,5,0
231,el hospital,szpital,1,0
232,la anestesista,anestezjolog,5,0
233,la inyección,zastrzyk,5,0
234,la radiografía,rendgen,5,0
235,la ecografía,USG,6,0
236,la operación,operacja,4,0
237,ingresado,przyjęty,6,0
238,dado de alta,wypisany,6,0
239,la clínica,klinika,6,0
240,la cardiologia,kardiologia,6,0
241,la ortopedia,ortopedia,6,0
242,la ginecología,ginekologia,6,0
243,la fisioterapia,fizjoterapia,6,0
244,la dermatología,dermatologia,6,0
245,la pediatría,pediatria,6,0
246,la radiología,radiologia,6,0
247,la cirugía,chirurgia,6,0
248,la maternidad,oddział położniczy,6,0
249,la psiquiatría,psychiatria,6,0
250,la oftalmología,okulistyka,5,0
251,la neurología,neurologia,5,0
252,la oncología,onkologia,5,0
253,la urología,urologia,5,0
254,el volante,skierowanie,6,0
255,el análysis,badanie,4,0
256,el resultado,wynik,2,0
257,el dentista,dentysta,2,0
258,el diente,ząb,4,0
259,la revisión,przegląd,4,0
260,el nervio,nerw,2,0
261,la corona,korona,2,0
262,la extracción,usunięcie,5,0
263,el cepillo de dientes,szczoteczka,4,0
264,el examen de ojos,badanie wzroku,4,0
265,el óptico,optyk,3,0
266,las gafas,okulary,2,0
267,las gafas de sol,okulary przeciwsłoneczne,2,0
268,el astigmatismo,astygmatyzm,6,0
269,la lágrima,łza,5,0
270,la vista,wzrok,4,0
271,el embrazo,ciąża,6,0
272,el nacimiento,narodziny,5,0
273,el parto,poród,5,0
274,el masaje,masaż,4,0
275,el yoga,joga,4,0
276,la meditación,medytacja,6,0
277,el terapeuta,terapeuta,4,0
278,la psicoterapia,psychoterapia,6,0
279,la casa,dom,1,0
280,el tejado,dach,3,0
281,la chimenea,komin,2,0
282,la ventana,okno,1,0
283,el garaje,garaż,1,0
284,el sótano,piwnica,4,0
285,el patio,podwórze,2,0
286,el piso,podłoga,2,0
287,el propietario,właściciel,3,0
288,el buzón,skrzynka na listy,4,0
289,el alquiler,czynsz,4,0
290,la habitación,pokój,2,0
291,la puerta,drzwi,1,0
292,el suelo,podłoga,3,0
293,el recibidor,przedpokój,3,0
294,la escalera,schody,2,0
295,el edificio,blok mieszkalny,2,0
296,el timbre,dzwonek,2,0
297,la cadena,łańcuch,4,0
298,la calle,klucz,2,0
299,el ascensor,winda,1,0
300,el radiador,kaloryfer,1,0
301,la estufa,grzejnik,2,0
302,el ventilador,wentylator,2,0
303,la bombilla,żarówka,1,0
304,el echufe macho,wtyczka,4,0
305,los cables,przewody,3,0
306,la corriente alterna,prąd zmienny,3,0
307,la corriente continua,prąd stały,3,0
308,el generador,generator,3,0
309,el voltaje,napięcie,4,0
310,la corriente eléctrica,prąd elektryczny,4,0
311,el echufe hembra,gniazdko,4,0
312,el interruptor,włącznik,4,0
313,el grifo,kran,4,0
314,el tanque,zbiornik,4,0
315,la cisterna,cysterna,4,0
316,el pedal,pedał,3,0
317,el cubo de basura,kosz na śmieci,3,0
318,el cuarto de estar,salon,3,0
319,la lámpara,lampa,2,0
320,el cuadro,obraz,2,0
321,el jarrón,wazon,4,0
322,la mesa de café,stolik kawowy,3,0
323,el sillón,fotel,2,0
324,la moqueta,dywan,3,0
325,la cortina,zasłona,3,0
326,el visillo,firanka,3,0
327,el despacho,gabinet,3,0
328,el comedor,jadalnia,1,0
329,la vela,świeca,3,0
330,la mesa,stół,1,0
331,la servilleta,serweta,1,0
332,la silla,krzesło,1,0
333,el espejo,lustro,1,0
334,el desayuno,śniadanie,1,0
335,la cena,kolacja,1,0
336,comer,jeść,1,0
337,lleno,najedzony,3,0
338,el invitado,gość,4,0
339,el anfitrión,gospodarz,4,0
340,la anfitriona,gospodyni,4,0
341,hambriento,głodny,5,0
342,la comida,posiłek,1,0
343,la ración,porcja,2,0
344,servir,podawać,2,0
345,la taza,kubek,2,0
346,el plato,talerz,1,0
347,la tetera,czajnik herbaciany,4,0
348,la jarra,dzbanek,4,0
349,el vaso,szklanka,2,0
350,el tenedor,widelec,1,0
351,la cuchara,łyżka,1,0
352,el cuchillo,nóż,1,0
353,la copa,kieliszek,1,0
354,los cubiertos,sztućce,2,0
355,la cocina,kuchnia,1,0
356,la isla,wyspa,1,0
357,el cajón,szuflada,4,0
358,el microondas,mikrofalówka,3,0
359,el hervidor,czanik,2,0
360,el frigorifico,lodówka,1,0
361,congelar,zamrozić,2,0
362,cocinar,gotowanie,1,0
363,pelar,obierać,4,0
364,cortar,kroić,3,0
365,remover,mieszać,2,0
366,hervir,gotować,2,0
367,freir,smażyć,2,0
368,cocer,gotować,2,0
369,asar,piec,5,0
370,la sartén,patelnia,4,0
371,el dormitorio,sypialnia,1,0
372,la almohada,poduszka,2,0
373,la cómoda,komoda,2,0
374,la cama,łóżko,1,0
375,la sábana,prześcieradło,2,0
376,la manta,koc,2,0
377,levantarse,wstać,5,0
378,dormirse,iść spać,5,0
379,hacer la cama,zrobić łóżko,5,0
380,individual,pojedynczy,2,0
381,el baño,łazienka,1,0
382,la bañera,wanna,2,0
383,el lavabo,umywalka,3,0
384,el armario de las medicinas,apteczka,5,0
385,la cortina de ducha,zasłona prysznicoa,6,0
386,la pasta de dientes,pasta do zębów,3,0
387,el cepillo de dientes,szczoteczka do zębów,3,0
388,el jabón,mydło,2,0
389,las toallas,ręczniki,3,0
390,el orinal,nocnik,5,0
391,la cuna,łóżeczko dziecięce,6,0
392,secar,suszyć,5,0
393,la lavadora,pralka,2,0
394,la plancha,żelazko,4,0
395,la ropa,ubranie,2,0
396,planchar,prasować,4,0
397,centrifugar,wirować,6,0
398,el cubo,wiaderko,5,0
399,limpiar,czyścić,2,0
400,fregar,myć,4,0
401,barrer,zamiatać,6,0
402,el martillo,młotek,3,0
403,la batería,akumulator,2,0
404,el taller,warsztat,5,0
405,la madera de pino,drewno sosnowe,6,0
406,pintar,malować,4,0
407,mate,matowy,6,0
408,las botas de goma,kalosze,6,0
409,el jardín,ogród,3,0
410,el cortacésped,kosiarka,6,0
411,cortar el césped,kosić,6,0
412,el césped,trawnik,5,0
413,el jardinero,ogrodnik,4,0
414,cavar,kopać,6,0
415,regar,podleać,5,0
416,cultivar,uprawiać,6,0
417,coger,zbierać,6,0
418,los servicios,usługi,3,0
419,la ambulancia,karetka,3,0
420,la estación de policía, posterunek policji,3,0
421,el uniforme,mundur,3,0
422,las luces,światła,4,0
423,el arresto,areszt,5,0
424,la policía,policja,2,0
425,el robo,kradzież,3,0
426,el cargo,oskarżenie,5,0
427,la denuncia,skarga,6,0
428,el crimen,przestępstwo,4,0
429,la huella dactilar,odcisk palca,6,0
430,el comisario,inspektor,6,0
431,el investigación,śledztwo,6,0
432,el sospechoso,podejrzany,6,0
433,el bombero,strażak,5,0
434,el casco,kask,4,0
435,el extintor,gaśnica,4,0
436,el detector de humo,czujnik dymu,5,0
437,el banco,bank,1,0
438,la ventanilla,okienko,1,0
439,el cajero,kasjer,2,0
440,el billete,bilet,1,0
441,la tarjeta de crédito,karta kredytowa,1,0
442,el dinero,pieniądze,1,0
443,el cajero automático,bankomat,4,0
444,los ahorros,oszczędności,4,0
445,el credito hipotecario,kredyt hipoteczny,6,0
446,ingresar,wpłacać,6,0
447,el pin,pin,6,0
448,la cambio,kantor,2,0
449,las finanzas,finanse,2,0
450,las acciones,akcje,4,0
451,el cliente,klient,4,0
452,correo,poczta,1,0
453,el sello,znaczek,2,0
454,el cartero,listonosz,2,0
455,el sobre,koperta,3,0
456,la carta,list,3,0
457,la firm,podpis,2,0
458,el paquete,paczka,2,0
459,el mensajero,kurier,6,0
460,comunicando,zajęty,4,0
461,contestar,odebrać telefon,4,0
462,apagado,rozłączony,6,0
463,el hotel,hotel,1,0
464,la recepcionista,recepcjonistka,1,0
465,el huésped,gość,5,0
466,el botones,bagażowy,5,0
467,el servicio de limpieza,serwis sprzątający,5,0
468,el gimnasio,siłownia,4,0
469,la piscina,basen,3,0
470,el restaurante,restauracja,2,0
471,las compras,zakupy,4,0
472,el centro comercial,centrum handlowe,3,0
473,la planta,piętro,3,0
474,la tienda,sklep,1,0
475,la planta baja,parter,2,0
476,la escalera mecánica, ruchome schody,3,0
477,la sección infantil,dział dziecięcy,6,0
478,el dependiente,sprzedawca,2,0
479,los productos de belleza,kosmetyki,6,0
480,la lancería,bielizna,6,0
481,la perfumería,perfumeria,5,0
482,el supermercado,suprmarket,2,0
483,el pacillo,przejście,2,0
484,el carro,wóz,2,0
485,la pandería,pieczywo,4,0
486,los cereales,płatki śniadaniowe,5,0
487,la verdura,warzywa,2,0
488,la fruta,owoce,2,0
489,la carne,mięso,2,0
490,las bebidas,napoje,4,0
491,la farmacia,apteka,2,0
492,los desodorantes,dezodoranty,4,0
493,el farmacéutico,aptekarz,4,0
494,la crema protectora, krem z filtrem,3,0
495,el cápsula,kapsuła,4,0
496,la píldora,tabletka,4,0
497,la crema,krem,4,0
498,el hierro,żelazo,5,0
499,el calcio,wapń,5,0
500,el magnesio,magnez,6,0
501,la insulina,insulina,6,0
502,la fecha de caducidad,data ważności,5,0
503,la diarrea,biegunka,5,0
504,el medicamento,lek,5,0
505,la floristería,kwiaciarnia,5,0
506,la rosa,róża,2,0
507,el tulipán,tulipan,2,0
508,los cigarillos,papierosy,4,0
509,la papelera,kosz na śmieci,4,0
510,el helado,lody,2,0
511,la revista czasopismo,3,0
512,el periódico,gazeta,3,0
513,el machero,zapalniczka,5,0
514,el puro,cygaro,5,0
515,la pastelería,cukiernia,3,0
516,el chicle,guma do żucia,5,0
517,la zapatería,obuwniczy,2,0
518,la agencia de viajes,biuro podróży,2,0
519,la peluquería,zakład fryzjerski,3,0
520,el mercado,rynek,2,0
521,la lavendería,pralnia,2,0
522,los alimentos,żywność,3,0
523,el peso,waga,3,0
524,el cordo,wieprzowina,5,0
525,la vaca,wołowina,3,0
526,el jamón,szynka,3,0
527,la carne picada,mięso mielone,5,0
528,las aves,drób,5,0
529,la carne magra,chude mięso,5,0
530,el pescado,ryba,5,0
531,el hielo,lód,5,0
532,congelado,zamrożony,5,0
533,fresco,świeży,4,0
534,la cola,ogon,4,0
535,la col,kapusta,6,0
536,el pimiento,papryka,3,0
537,el pepino,ogórek,5,0
538,el tomate,pomidor,3,0
539,la patata,ziemniak,3,0
540,la remolacha,burak,5,0
541,la zanahoria,marchew,5,0
542,la cebolla,cebula,3,0
543,crudo,surowy,4,0
544,picante,ostry,3,0
545,dulce,słodki,3,0
546,amargo,gorzki,4,0
547,el ajo,czosnek,5,0
548,la naranja,pomarańcza,3,0
549,el melocotón,brzoskwinia,4,0
550,la nectarina,nektrynka,5,0
551,el pomelo,grejpfrut,5,0
552,la cereza,czereśnia,5,0
553,la lima,limonka,3,0
554,el limón,cytryna,3,0
555,la manzana,jablko,3,0
556,la fresa,truskawka,4,0
557,la sandía,arbuz,5,0
558,la arándano,jagoda,5,0
559,la piña,ananas,6,0
560,el plátano,banan,3,0
561,el piñón,orzeszek,5,0
562,el coco,kokos,5,0
563,duro,twardy,3,0
564,blando,miękki,3,0
565,salado,słony,3,0
566,el arroz,ryż,1,0
567,la vainilla,wanilia,3,0
568,el pimentón,papryka,2,0
569,las hierbas,zioła,5,0
570,las especias,przyprawy,5,0
571,el aceite de oliva,oliwa z oliwek,6,0
572,el tarro,słoik,6,0
573,la miel,miód,6,0
574,la salsa,sos,3,0
575,la mostaza,musztarda,3,0
576,la mayonesa,majonez,3,0
577,la mantequilla,masło,3,0
578,la mantequilla de cacahuetes,masło orzechowe,6,0
579,el queso,ser,5,0
580,la leche,mleko,3,0
581,la margarina,margaryna,4,0
582,la nata,śmietana,3,0
583,el yogurt,jogurt,3,0
584,los huevos,jaja,2,0
585,sin grasa,beztłuszczowy,6,0
586,la harina,mąka,5,0
587,hornear,piec,6,0
588,el pan,chleb,2,0
589,la tarta,tort,5,0
590,el agua,woda,1,0
591,el té,herbata,1,0
592,el café,kawa,1,0
593,el zumo,sok,1,0
594,la cerveza,piwo,1,0
595,el vino,wino,1,0
596,el vino tinto,wino czerwone,2,0
597,el champán,szampan,5,0
598,la café,kawiarnia,1,0
599,la espuma,piana,5,0
600,la ensalada,sałatka,6,0
601,el bar,bar,3,0
602,el cubito de hielo,kostka lodu,6,0
603,el cóctel,koktajl,6,0
604,un chupito,shot,6,0
605,las patatas fritas,frytki,2,0
606,las aceitunas,oliwki,4,0
607,el camarero,kelner,2,0
608,la botella,butelka,2,0
609,el chef,szef kuchni,2,0
610,el plato principal,danie główne,5,0
611,pagar,płacić,5,0
612,la sopa,zupa,5,0
613,los aperitivos,przystaki,6,0
614,los cacahuetes,orzeszki ziemne,6,0
615,el postre,deser,6,0
616,la pizza,pizza,4,0
617,la entrega a domicilio,dostawa do domu,6,0
618,la hamburguesa,hamburger,4,0
619,para comer en el local,na miejscu,6,0
620,el menú,menu,4,0
621,para llevar,na wynos,4,0
622,el pollo,kurczak,4,0
623,el bocadillo,kanapka,3,0
624,la salchicha,kiełbaska,4,0
625,el huevo frito,jajo smażone,6,0
626,el bacón,bekon,6,0
627,las crepes,naleśniki,6,0
628,los gofres,gofry,6,0
629,la comida principal,obiad,5,0
630,el guiso,gulasz,6,0
631,la empanada,pieróg,5,0
632,el pincho,szaszłyk,6,0
633,las albóndigas,klopsiki,6,0
634,la tortilla,omlet,6,0
635,la pasta,makaron,4,0
636,el estudio,nauka,4,0
637,el colegio,szkoła,2,0
638,la pizarra,tablica,3,0
639,el aula,klasa,3,0
640,leer,czytac,3,0
641,escribir,pisać,3,0
642,dibujar,rysować,3,0
643,aprender,uczyć się,3,0
644,discutir,dyskutować,3,0
645,el alumno,ławka,4,0
646,el arte,sztuka,4,0
647,la biología,biologia,4,0
648,la guímica,chemia,4,0
649,la geografía,geografia,4,0
650,la historia,historia,4,0
651,los idiomas,jęzki,4,0
652,la literatura,literatura,4,0
653,las matemáticas,matematyka,4,0
654,la música,muzyka,3,0
655,las ciencias,przedmioty ścisłe,4,0
656,la fisica,fizyka,4,0
657,el proyector,rzutnik,5,0
658,el cuaderno,zeszyt,4,0
659,el lápiz,ołówek,3,0
660,la pregunta,pytanie,3,0
661,la goma,guma,3,0
662,la respuesta,odpowiedź,3,0
663,el bolígrafo,długopis,3,0
664,el diccionario,słownik,3,0
665,el examen,egzamin,3,0
666,el director,dyrektor szkoły,3,0
667,la clase,lekcja,3,0
668,el laboratorio,laboratorium,4,0
669,el experimento,doświadczenie,4,0
670,el microscopio,mikroskop,4,0
671,el ocular,okular,2,0
672,las gafas protectoras,okulary ochronne,2,0
673,el imán,magnes,6,0
674,el campus,kampus,6,0
675,el aparcamiento,parking,2,0
676,el colegio mayor,akademik,6,0
677,la biblioteca,biblioteka,3,0
678,el estudiante,student,3,0
679,la graduada,absolwent,5,0
680,el diploma,dyplom,4,0
681,el doctorado,doktorat,4,0
682,el máster,magister,4,0
683,el trabajo,praca,1,0
684,la oficina,biuro,1,0
685,el monitor,monitor,4,0
686,el ordenador,komputer,3,0
687,la impresora,drukarka,3,0
688,fotocopiar,kopiować,4,0
689,ampliar,powiększać,4,0
690,imprimir,drukować,4,0
691,reducir,zmniejszać,4,0
692,asistir,być obecnym,4,0
693,la presentación,prezentacja,3,0
694,los apuntes,notatki,5,0
695,la empresa,firma,3,0
696,el sueldo,pensja,4,0
697,el teclado,klawiatura,4,0
698,la memoria,pamięć,2,0
699,el altavoz,głośnik,4,0
700,el disco duro,dysk twardy,4,0
701,el sistem,system,4,0
702,el software,oprogramowanie,3,0
703,el servidor,serwer,4,0
704,la red,sieć,3,0
705,el programa,program,2,0
706,la applicación,aplikacja,3,0
707,la barra del menú,pasek menu,6,0
708,la barra de acceso,pasek narzędzi,6,0
709,el fondo,tapeta,6,0
710,el icono,ikona,6,0
711,el fichero,plik,6,0
712,la carpeta,katalog,6,0
713,la papelera,kosz,5,0
714,el sitio web,strona internetowa,5,0
715,el navegador,przeglądarka,5,0
716,conectar,łączyć,5,0
717,bajar,pobierać,5,0
718,instalar,instalować,5,0
719,recibir,odbierać,5,0
720,guardar,zapisać,5,0
721,buscar,szukać,4,0
722,enviar,wysyłać,4,0
723,el estudio de televisión,studio telewizyjne,4,0
724,la cámara,kamera,5,0
725,el presentador,prezenter,5,0
726,emitir,emitować,5,0
727,el canal,kanał,4,0
728,el documental,program dokumentalny,6,0
729,el concurso,konkurs,6,0
730,en directo,na żywo,5,0
731,las noticias,wiadomości,6,0
732,la prensa,prasa,6,0
733,la telenovela,telenowela,6,0
734,los actores,aktorzy,6,0
735,el reporter,reporter,6,0
736,el entrevistador,dziennkarz,6,0
737,la radio,radio,5,0
738,el micrófono,mikrofon,5,0
739,la emisión,program,6,0
740,la frecuencia,częstotliwość,6,0
741,el derecho,prawo,4,0
742,el abogado,prawnik,4,0
743,el juez,sędzia,4,0
744,la defensa,obrona,5,0
745,el ocusado,oskarżony,5,0
746,la apelación,apelacja,5,0
747,absuelto,uniewinniony,5,0
748,el juicio,rozprawa sądowa,5,0
749,el cargo,oskarżenie,5,0
750,el prueba,dowód,6,0
751,culpable,winny,6,0
752,inocente,niewinny,6,0
753,el sospechoso,podejrzany,6,0
754,la celda,cela,5,0
755,la declaración,zeznanie,5,0
756,la cárcel,więzienie,5,0
757,el granjero,rolnik,6,0
758,el granero,stodoła,6,0
759,la cerca,ogrodzenie,6,0
760,el campo,pole,5,0
761,el tractor,traktor,6,0
762,el maíz,kukurydza,4,0
763,el algodón,bawełna,4,0
764,la gallina,kura,5,0
765,el gallo,kogut,5,0
766,el pavo,indyk,5,0
767,el cerdo,świnia,5,0
768,la oveja,owca,5,0
769,el toro,byk,4,0
770,el pato,kaczka,4,0
771,la burro,osiol,5,0
772,el caballo,koń,3,0
773,el establo,stajnia,5,0
774,la construcción,budowa,3,0
775,la pared,ściana,4,0
776,el ladrillo,cegła,5,0
777,la madera,drewno,5,0
778,la teja,dachówka,5,0
779,la maquinaria,maszyna,5,0
780,el esfalto,asfalt,5,0
781,la profesión,zawód,5,0
782,el carpintero,stolarz,6,0
783,el electricista,elektryk,6,0
784,el fontanero,hydraulik,6,0
785,el agente inmobiliario,agent nieruchomości,6,0
786,la veterinaria,weterynarz,6,0
787,el soldado,żołnierz,4,0
788,el marino,marynarz,4,0
789,el pescador,rybak,5,0
790,el contable,księgowy,5,0
791,el arquitecto,architekt,5,0
792,el profesor,nauczyciel,4,0
793,el bibliotecario,bibliotekarz,4,0
